"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","../img/tt/404tt.jpg","","mooney2","image-keyboard-response","774","1631367","0.0-2.0-4.128","CL","2","pretest","true","4407107","null","","",""
"2201","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","775","1633569","0.0-2.0-5.128","CL","2","pretest","true","4407107","51","../img/tt/404tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","776","1633770","0.0-2.0-0.129","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/356tt.jpg","","mooney1","image-keyboard-response","777","1636774","0.0-2.0-1.129","CL","2","pretest","true","4407107","null","../img/tt/356tt.jpg","",""
"1516","<p></p>","","recognized","html-keyboard-response","778","1638291","0.0-2.0-2.129","CL","2","pretest","true","4407107","89","../img/tt/356tt.jpg","y",""
"null","../img/gs/356gs.jpg","","solution","image-keyboard-response","779","1640295","0.0-2.0-3.129","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/356tt.jpg","","mooney2","image-keyboard-response","780","1642300","0.0-2.0-4.129","CL","2","pretest","true","4407107","null","","",""
"2091","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","781","1644392","0.0-2.0-5.129","CL","2","pretest","true","4407107","51","../img/tt/356tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","782","1644597","0.0-2.0-0.130","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/548tt.jpg","","mooney1","image-keyboard-response","783","1647604","0.0-2.0-1.130","CL","2","pretest","true","4407107","null","../img/tt/548tt.jpg","",""
